,Site,Petri,Dateof,PetriDish,PaperFilter,PetriPlus,PetriDishPlus,PetridishPlus,FilterAndsample,SampleWeight,SampleWeight.1,Vol,Vol.1,mgL,mgL.1,Con,Temp,Level,pH,Date,,,
89,MQ1,3846,"Nov.4,2003",1.016,0.1022,1.1182,1.127,1.1257,0.1097,8.8,7.5,200,0.2,44,37.5,NA,NA,NA,NA,11/4/2003,,,
90,MQ2,3848,"Nov.4,2003",1.0172,0.1057,1.1229,1.1306,1.129,0.1118,7.7,6.1,300,0.3,25.66666667,20.33333333,NA,NA,NA,NA,11/4/2003,,,
91,MQ3,3849,"Nov.4,2003",1.0132,0.1049,1.1181,1.1246,1.1231,0.1099,6.5,5,730,0.73,8.904109589,6.849315068,NA,NA,NA,NA,11/4/2003,,,
92,RCB,3850,"Nov.4,2003",1.0119,0.1052,1.1171,1.1166,1.116,0.1041,-0.5,-1.1,550,0.55,-0.909090909,-2,NA,NA,NA,NA,11/4/2003,,,
93,TCB,3851,"Nov.4,2003",1.0155,0.104,1.1195,1.1275,1.12,0.1045,8,0.5,550,0.55,14.54545455,0.909090909,NA,NA,NA,NA,11/4/2003,,,
94,MPR,3852,"Nov.4,2003",1.012,0.1052,1.1172,1.1179,1.1175,0.1055,0.7,0.3,990,0.99,0.707070707,0.303030303,NA,NA,NA,NA,11/4/2003,,,
95,MG,3853,"Nov.4,2003",1.0103,0.1027,1.113,1.1164,1.1153,0.105,3.4,2.3,500,0.5,6.8,4.6,NA,NA,NA,NA,11/4/2003,,,
96,RS,3854,"Nov.4,2003",1.0084,0.1029,1.1113,1.1154,1.1143,0.1059,4.1,3,1000,1,4.1,3,NA,NA,NA,NA,11/4/2003,,,
97,Q. Sonadora,3855,"Nov.4,2003",1.0079,0.1037,1.1116,1.1124,1.1117,0.1038,0.8,0.1,760,0.76,1.052631579,0.131578947,NA,NA,NA,NA,11/4/2003,,,
98,Q. Prieta,3856,"Nov.4,2003",1.0085,0.1047,1.1132,1.1211,1.1191,0.1106,7.9,5.9,450,0.45,17.55555556,13.11111111,NA,NA,NA,NA,11/4/2003,,,
99,Q. T1,3857,"Nov.4,2003",1.0099,0.1049,1.1148,1.1231,1.1215,0.1116,8.3,6.7,350,0.35,23.71428571,19.14285714,NA,NA,NA,NA,11/4/2003,,,
100,Q. Guabá,3861,"Nov.4,2003",1.0153,0.104,1.1193,1.1261,1.1252,0.1099,6.8,5.9,700,0.7,9.714285714,8.428571429,NA,NA,NA,NA,11/4/2003,,,
101,Q. Icacos,3862,"Nov.4,2003",1.0165,0.1041,1.1206,1.1226,1.1221,0.1056,2,1.5,750,0.75,2.666666667,2,NA,NA,NA,NA,11/4/2003,,,
102,RES4,3863,"Nov.4,2003",1.013,0.1037,1.1167,1.125,1.1233,0.1103,8.3,6.6,640,0.64,12.96875,10.3125,NA,NA,NA,NA,11/4/2003,,,
103,RCEV,3864,"Nov.4,2003",1.0124,0.1046,1.117,1.1164,1.1161,0.1037,-0.6,-0.9,760,0.76,-0.789473684,-1.184210526,NA,NA,NA,NA,11/4/2003,,,
